stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,0,0,0,3.21,0
21Day,1.34,0,0,1.34,0
3Month,0,0.32,0.32,0,0
