stage,Erythrocyte,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,1.07,4.28,0,0,0,1.07
21Day,5.35,0,0,0,4.02,1.34,0,0,1.34,0,8.03,54.88,0
3Month,0,0.64,0.32,0.32,4.48,0,0,0,0,0.64,0,0,0.32
22Month,0,0.55,0,0,1.09,0,0,0,0,0,0,0,0
