stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,16.35,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,28.6,61.3,0,0,0,4.09,81.73,1605.96,12.26,0,0,0,0,0,0,0,0,16.35,0,0,0
72hpf,50.28,4.28,20.33,1.07,20.33,0,0,0,0,0,0,0,0,0,4.28,32.09,1.07,95.21,0,2.14,2.14,0,2137.44,193.63,10.7,44.93,0,32.09,0,2.14,53.49,0,0,8.56,0,0,0
21Day,25.43,0,14.72,1.34,10.71,0,0,0,0,0,1.34,0,4.02,0,0,5.35,1.34,69.6,0,0,2.68,0,398.88,56.22,9.37,21.42,0,17.4,12.05,4.02,9.37,1.34,6.69,2.68,0,0,1.34
3Month,0.32,0,5.12,0.32,0,0,0,1.28,0.64,0,7.04,4.48,2.24,2.56,1.6,6.4,1.92,14.08,1.28,0,1.28,0.32,11.2,1.28,22.4,26.24,0,0,1.28,91.19,2.24,0.32,0,0.64,4.8,29.76,1.28
22Month,0,0,5.47,0,0,0.55,1.09,0.55,1.64,1.09,23.51,1.09,7.65,1.09,0.55,0,3.83,20.77,0,1.09,2.19,0,8.75,3.28,31.71,80.36,2.73,0,0.55,82,12.57,1.64,0,1.09,1.64,0,0.55
