stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,8.17,0,44.95,4.09,0,0,0,0,0,0,4.09,0,0,4.09,0,0,4.09,32.69,89.9,0,0,0,12.26,678.34,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,3.21,6.42,0,10.7,1.07,2.14,0,0,0,0,0,0,2.14,0,1.07,0,4.28,8.56,0,26.74,0,1.07,0,103.77,120.89,3.21,1.07,19.26,0,0,18.19,0,1.07,0,0,0
21Day,12.05,4.02,0,29.45,1.34,8.03,0,4.02,0,1.34,0,0,0,0,12.05,2.68,2.68,6.69,1.34,22.76,0,0,1.34,34.8,36.14,0,0,18.74,9.37,0,5.35,1.34,1.34,0,0,4.02
3Month,0,1.6,0.64,27.84,0.64,0,0,0.64,1.28,4.16,0,0,17.28,0.64,0.64,7.68,0.96,6.08,5.44,5.44,0.96,0,0.96,1.28,0.32,1.28,0,0.64,0.64,18.24,0.64,0,0,2.56,6.4,4.48
22Month,0.55,4.92,2.19,15.31,0,0,0.55,0,0.55,8.2,7.11,0,43.73,3.83,4.37,9.29,0.55,2.73,5.47,6.01,0,2.19,0,0.55,0,1.09,1.09,0,0,4.37,1.09,0,0,1.64,0,2.73
