stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,12.26,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,1.07,6.42,0,5.35,0,1.07,0,0,5.35,5.35,0,0,3.21,1.07,0,0,0,0,0,0
21Day,5.35,0,0,64.25,0,0,0,0,0,0,2.68,2.68,28.11,41.49,4.02,6.69,0,0,0,0,0,6.69,0,0,2.68,1.34,0,1.34,0,0,0,2.68
3Month,0,2.24,0.64,549.35,0.96,3.2,6.4,0,21.12,6.08,3.2,9.92,2.88,7.68,7.68,5.12,1.92,0.32,1.6,0.64,0.32,0.32,0.32,0.32,0,14.08,4.8,1.28,0.32,0.64,0.96,18.24
22Month,0.55,1.64,0,166.18,0,1.09,3.83,1.09,29.52,1.64,5.47,2.73,2.19,8.2,3.28,6.56,0,2.19,0.55,0,0.55,0,1.09,1.09,0.55,9.29,0.55,0,0,0,0,1.64
