stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,2.14,5.35,1.07,0,0,1.07,0,0,0,0,0
21Day,0,40.16,1.34,0,0,1.34,0,1.34,1.34,0,0,0,4.02,0,1.34,0,8.03,1.34,0,1.34,0,0,0,0,0,1.34
3Month,0,53.11,2.88,0.96,0.32,5.76,0.96,0,1.92,0.96,0.96,0.64,0.64,0.64,0.32,1.6,0,0,0.64,0.32,0,0.64,2.88,0.32,3.2,0.96
22Month,0.55,8.2,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0.55,0,0,0
