stage,Cardiomyocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,1.07,1.07
3Month,0,0.64,0.32,0,0,0,0
22Month,0,1.09,0,0,0.55,0,0
