stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,25.67,0,0,0,4.28,0,8.56,0,0,0,0,0,0,0
21Day,0,0,2.68,2.68,0,0,0,0,0,0,30.79,1.34,2.68,0,0,0,5.35,0,0,1.34,1.34,0,0,1.34
3Month,0.32,0,0.96,0,0,0,0,2.88,0.32,0.96,0.32,0.32,1.28,0,0,0,0,0,0.32,0,0,0.32,1.6,0.64
22Month,1.09,0.55,4.37,0,1.09,1.64,424.2,33.35,0.55,2.19,0,2.19,3.28,0.55,0,1.09,0,0.55,0.55,0,0.55,0,0,0.55
