stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,32.09,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0
21Day,2.68,2.68,0,997.21,10.71,0,8.03,2.68,0,1.34,0,6.69,6.69,0,16.06,6.69,33.46,0,0,2.68,0,9.37,12.05,0,0,10.71,5.35,0,1.34,0,0,2.68
3Month,0.32,0.96,0.96,673.81,0,1.6,27.2,4.8,0,8.96,5.12,0.32,5.76,0.64,9.92,4.8,2.56,0.64,0,2.88,1.28,0.32,0,0.32,0.64,0.32,3.2,1.92,0,0.32,2.88,6.08
22Month,0,0.55,2.73,60.13,0,0.55,41.55,0,1.09,16.4,1.64,1.09,8.2,0,1.09,2.73,1.64,0,1.64,0,0,0,0,0.55,0.55,0,0,3.28,0,0.55,0,4.37
