stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,106.25,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,155.28,0,0,0,36.78,469.94,0,0,32.69,0,0,0,0,0,8.17,0,0,0
72hpf,27.81,3.21,18.19,4.28,16.05,1.07,0,0,1.07,0,0,0,2.14,0,6.42,33.16,5.35,68.47,0,1.07,0,1978.04,239.63,0,4.28,69.54,2.14,0,53.49,4.28,0,2.14,0,0,0
21Day,4.02,1.34,17.4,0,6.69,0,0,0,0,0,1.34,0,1.34,1.34,2.68,2.68,1.34,53.54,0,8.03,0,289.12,34.8,0,0,8.03,10.71,0,4.02,1.34,1.34,1.34,0,0,1.34
3Month,0,0.64,7.68,0,0,0,0.64,0.64,3.2,0,3.2,0.96,0.32,0.64,0.64,2.88,4.16,50.87,7.04,3.52,0.64,2.56,0.32,0.32,0,0.64,1.28,33.91,4.48,0.32,0,0,0.32,3.2,0
22Month,0,0.55,1.64,0,0,0,0,0,1.09,0.55,12.03,0,1.09,1.09,0,2.19,5.47,43.73,2.19,4.92,0,2.19,0.55,0,0.55,0.55,0,30.07,7.65,0,0,0,0,0,0
