stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,4.09,28.6,0,4.09,40.86,0,0,0,0
72hpf,0,1.07,0,0,0,1.07,1.07,0,5.35,1.07,3.21,2.14,3.21,0,1.07,0
21Day,1.34,0,0,1.34,1.34,0,1.34,0,0,1.34,5.35,0,5.35,0,0,0
3Month,0,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0,0.96,0,0.32
22Month,0,0,0,0,2.73,0,0,0,0.55,0,0,0,0,1.09,0,0
