stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,2.14,2.14,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0.64,0,4.48,0,0.32,0.96,0,12.48,0.64,0,1.28,0.32,0.96,1.28,1.28,0,0.96,0.32,0.32,0,0.32,0,0,0.96,27.84,0.32,1.28,1.28
22Month,0,4.92,0,13.67,0.55,1.09,6.01,3.28,65.05,0.55,2.19,2.73,0.55,2.73,3.83,3.83,4.37,0,0,0,0,0.55,0.55,3.28,0,22.96,1.09,0,2.19
