stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,4.09,4.09,0,0,0,0,0,0,4.09,20.43,0,0,0,61.3,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,2.14,0,0,0,0,7.49,6.42,0,0,1.07,0
21Day,1.34,0,0,0,1.34,1.34,0,0,0,0,1.34,0,0,5.35,1.34,1.34,0,1.34,1.34
3Month,0,0,0.32,0,0,0,0.32,0.96,0.32,0,0,0.32,0.64,0,0,0,0.32,0,0
