stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,1.07,0,3.21,0,0,0,0,0,0,0,0,4.28,1.07,0,1.07,0,0,0,0,221.45,11.77,0,1.07,0,1.07,0,0,4.28,11.77,0,0
21Day,1.34,0,0,2.68,1.34,0,0,0,0,0,0,0,1.34,0,4.02,1.34,0,1.34,0,0,0,0,95.04,1.34,0,0,0,0,1.34,1.34,1.34,1.34,0,0
3Month,0,5.44,2.24,11.52,3.2,0,0,0.96,1.92,0,26.24,0.32,0.32,6.08,5.12,1.6,0.64,6.72,0.64,0,0.32,2.56,1.92,0.32,0.64,0,0,0,1.28,77.75,0.32,1.28,1.28,79.35
22Month,0,6.01,0.55,9.29,0,0,0.55,1.09,2.19,7.11,285.9,0.55,0,9.84,0.55,0.55,1.64,4.37,0,8.2,1.64,1.64,1.64,0,1.09,1.09,2.19,0,0,12.57,0.55,0,0.55,0
