stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
21Day,0,20.08,0,0,0,0,0,1.34,2.68,0,2.68,0,0,0,0,2.68,2.68,0,0,1.34,0,0,0,0,0
3Month,0.32,19.52,0,1.28,0.96,0.96,0,0,0.64,1.6,1.28,1.6,0.96,0.32,0,52.47,0,0.32,0,0,0.32,27.52,0.32,0.96,21.44
22Month,0.55,25.15,0.55,0.55,0.55,14.21,0.55,0.55,3.83,0.55,1.09,0.55,2.19,0.55,1.09,47.01,1.09,0,0.55,0,0,6.01,0,0,0
