stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,9.37,0,1.34,5.35,2.68,85.67,0,4.02,0,0,0,0,4.02,1.34,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0
3Month,0.32,1.6,39.67,0.32,0.32,0,1.92,1.6,0,175.01,1.6,0,34.23,1.28,2.56,2.56,1.92,0.96,0.96,0.64,0.32,0.64,0,0.64,0,0,2.56,0.32,9.92,0.32,0,0,0.32,14.08,0.64
22Month,0,0,9.84,0,0,0.55,1.09,2.73,0.55,190.24,0.55,0.55,30.07,0.55,1.09,3.28,1.64,0,2.73,1.09,0,0,0,0.55,0.55,0,0,0,8.75,14.76,3.83,0.55,0,0.55,0
