stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,3.21,2.14,0,0
21Day,2.68,0,2.68,1.34,1.34,0,2.68,0,0,1.34
3Month,0.96,0.32,0,0,0.32,0.32,0,0,0.32,0.64
22Month,0.55,0.55,0,0.55,0,0,0,0,0,0.55
