stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,5.35,0,0,0,0,8.56,2.14,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,1.34,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,9.37,2.68,0,0,0,0,1.34,0,0,0,0
3Month,0.32,1.92,0.32,18.88,0.32,0,0.32,0.64,2.24,5.44,0,15.04,3.52,1.28,18.24,2.56,5.76,7.04,5.44,1.28,0,2.24,3.84,2.56,0.96,4.48,0.96,0.32,35.83,1.28,0.32,2.56,3.2,6.4
22Month,0,1.09,1.64,3.83,0.55,0,0,0,1.09,5.47,1.64,30.07,2.73,0.55,22.96,1.09,1.64,6.56,6.56,0,0.55,1.09,0.55,0,0,1.09,0,0,7.65,1.64,0,0.55,0,2.19
