stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
3Month,0,1.28,0,1.6,0.32,0.96,0.32,0.32,1.6,0,0,0,0.64,0.32
22Month,0.55,1.09,4.92,33.35,0,4.37,0,1.09,1.09,1.09,0.55,0.55,0,0
