stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,53.12,4.09,0,49.04,0,0,0,0,4.09,0,4.09,0,0,4.09,12.26,65.38,16.35,85.81,4425.58,0,0,8.17,0,0,0,0,0,4.09,0,0
72hpf,29.95,0,0,8.56,5.35,23.54,0,0,0,0,1.07,0,2.14,25.67,3.21,38.51,9.63,1291.24,924.3,2.14,5.35,25.67,1.07,0,140.14,2.14,0,2.14,0,0
21Day,6.69,0,1.34,12.05,0,10.71,0,0,0,2.68,6.69,4.02,0,9.37,2.68,12.05,1.34,303.85,235.58,1.34,2.68,8.03,12.05,2.68,69.6,2.68,1.34,0,0,2.68
3Month,0,0,0,1.28,0,0,0.64,0,0,0,0,0.64,0,0.64,0,0.32,0,0,3.52,0,0,0,0,1.6,0.96,0,0,0,0.96,0
22Month,0,0,0,0.55,0,0,0,0.55,0,7.11,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0.55,10.39,0.55,0,0,0,0,0
