stage,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,4.09,8.17,0,0,0,16.35,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,1.07,0,1.07,10.7,4.28,0,1.07,4.28,0,0
21Day,4.02,0,0,4.02,1.34,0,1.34,0,0,16.06,1.34,1.34,0,0,0,1.34
3Month,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
22Month,0,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0
