stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,1.07,0,0,0,0,4.28,0,1.07,1.07,0
21Day,0,0,0,0,0,1.34,0,0,1.34,0,0,6.69,0,0,0,0
3Month,0,0.32,0,1.92,0,0,0,0,0.32,0,0,0,0,0,0,0.32
22Month,0,1.64,0.55,8.75,0.55,1.09,0,0.55,1.09,1.09,0.55,0.55,0,0,0,0
