stage,Cardiomyocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,18.19,0,4.28,0,10.7,0,0
21Day,2.68,1.34,10.71,0,1.34,1.34,2.68,0,1.34
3Month,0,0,0.64,0.32,0,0,0,0.64,0
