stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell
24hpf,4.09,0,0,0,0,0,0,16.35,4.09,0,0,0,36.78,0,0
72hpf,0,0,1.07,0,0,0,0,3.21,0,0,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0.32,0.32,0,0.32,0,0.32,0.32,0,0,0,0,1.92
22Month,0,0.55,0,4.92,0,1.64,0,0,0,0,0.55,0,0,1.09,13.67
