stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,6.69,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,13.39
3Month,4.16,4.16,0.64,2.24,1.6,0,5.76,1.6,0.64,38.39,0.32,0.64,0.96,0.64,0.32,0.32,0.64,0,0,0.32,0.64,2.24,0,0.64,0.64,0.64,61.75
22Month,3.28,1.09,0.55,3.28,2.19,0.55,11.48,1.09,0.55,32.8,0.55,0,1.09,2.19,0,0,0,0,0,0.55,1.09,2.73,0.55,0,0,0,31.16
