stage,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,0,24.52,0,0
72hpf,0,0,0,0,6.42,0,1.07
21Day,16.06,0,1.34,1.34,5.35,1.34,0
3Month,0.32,0.32,0.32,0,0,0,0
