stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,4.09,20.43,0,0,12.26,122.59,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,3.21,0,1.07,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,3.21,26.74,0,8.56,0,0,57.77,26.74,1.07,0,0,11.77,0,0,1.07,0,1.07,0
21Day,5.35,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,4.02,6.69,0,1.34,0,5.35,0,0,0,1.34,0,0
3Month,0,0,0.32,1.28,0,0,0,0,0.64,0,0,0,1.92,0.32,0,1.28,0,0.64,1.6,0.32,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0
22Month,0,5.47,2.19,7.11,0,0.55,0.55,0.55,1.64,7.65,2.73,0,58.49,1.64,0.55,8.2,1.64,2.19,3.83,9.29,2.73,1.09,1.09,1.09,1.09,0.55,554.85,0.55,0.55,0,0.55,0,0.55,2.19
