stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,4.09,0,0,0,4.09,0,0,0,0,0,4.09,0,8.17,0,0,4.09,40.86,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,1.07,0,0,1.07,0,0,0,0,0,0,3.21,0,7.49,0,0,6.42,5.35,0,0,1.07,0,2.14,0,0,0
21Day,6.69,2.68,0,9.37,1.34,2.68,4.02,0,0,0,0,0,4.02,0,1.34,2.68,0,6.69,0,0,6.69,2.68,4.02,2.68,0,0,1.34,0,0,0
3Month,0,0.32,0,8,0,0,0,0.64,1.28,0,1.28,1.28,0.96,4.8,0.64,1.6,2.56,0.64,0,0.64,0,0,0.32,0.64,0,7.68,0,0.32,4.8,0.96
22Month,0,0,0.55,1.64,0,0,0,0,1.64,0,3.83,0,0,7.11,0,0.55,0.55,3.28,0.55,0,0,0,0,0,0,2.73,0,0,0,0
