stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,53.12,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,2.14,0,1.07,0,2.14,0,2.14,3.21,0,0,3.21,0,1.07,0,0,0,0,0
21Day,0,0,10.71,0,4.02,0,6.69,0,0,0,0,10.71,0,0,2.68,0,4.02,0,0,0,1.34,1.34,1.34,0,6.69,0,0,1.34,1.34,0,0,0
3Month,0.64,0.32,13.76,0.64,0,0.64,0.32,7.68,1.28,9.28,0.32,0.96,8.64,0.64,2.24,3.84,2.88,0.32,0,0.96,0.32,0,0.96,0,0.32,14.08,0,0,0,1.28,1.28,2.88
22Month,0,0,3.28,0,0,0,0,2.19,1.09,14.21,0,2.19,5.47,0,0,4.92,2.19,0,1.09,0,0,0,1.64,0.55,0.55,3.28,0.55,0,0,0,0,2.19
