stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Radial_glia
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,12.26,0,8.17,57.21,0,0,8.17,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07
22Month,0,3.28,2.19,0.55,1.09,30.61,0.55,0.55,1.09,1.09,1.09,3.83,0.55,0,0,0.55,37.17,0,0
