stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,4.09,0,24.52,0,0,8.17,81.73,4.09,0,0,0,0,0,0
72hpf,2.14,0,4.28,1.07,2.14,0,0,0,0,1.07,8.56,0,18.19,0,0,35.3,22.47,23.54,0,0,3.21,3.21,1.07,0
21Day,8.03,0,12.05,2.68,1.34,0,0,1.34,0,0,5.35,0,36.14,0,0,20.08,9.37,5.35,2.68,0,0,0,0,0
3Month,0,0.32,2.56,0,0,0.32,0.64,0,0.64,0,0.32,0.32,0,1.28,0,0,0,0.32,0,0.64,0.32,0,0.32,0.32
22Month,0,0,1.64,0,0,0,0.55,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0
