stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,36.78,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,6.42,0,0,106.98,9.63,1.07,2.14,0,4.28,1.07,0,0
21Day,5.35,0,1.34,0,2.68,0,0,0,0,0,0,1.34,0,0,0,8.03,2.68,0,29.45,0,1.34,1.34,0,1.34,1.34,0,0
3Month,0,0.32,1.6,0.32,0,0,0,0,3.2,0.32,0,0.32,0.32,0.32,0.64,0.96,0.32,0.32,0.32,0.32,0,0,2.56,0,0,0.64,0.32
22Month,0.55,0,0,0,0,0.55,1.09,0.55,2.73,0.55,0.55,0,0,0.55,1.09,1.64,0,0,0,0,1.09,0,0.55,0,0,0,0
