stage,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,4.09,0,4.09,106.25,4.09,24.52,0
72hpf,0,1.07,2.14,2.14,2.14,12.84,2.14,2.14
21Day,0,0,0,0,1.34,1.34,2.68,0
