stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,3.21,1.07,4.28,1.07,0,0,0
21Day,1.34,5.35,0,0,2.68,17.4,2.68,17.4,5.35,0,0,0
3Month,0,0,0,1.6,0,0,0,1.92,1.28,0,0.32,0
22Month,0,0,0.55,3.83,0,0.55,0,3.28,2.73,0.55,0,0.55
