stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,1.07,0,2.14,0,10.7,4.28,0,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,4.02,0,0,0,0,0,1.34,0,0,0
3Month,0,3.2,0,0.64,6.4,0.64,0,0.96,2.56,1.28,2.24,0.32,0.32,0,0.64,0,0.32,2.88,0,0,0.64,24,0.64
22Month,0.55,1.09,0,0.55,1.64,1.64,0.55,0,0,0.55,2.19,0,0,0,0,0,0,0,0,0,0,0,0
