stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,1.07,2.14,0,0,8.56,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,1.34,14.72,0,8.03,1.34,0,0,0,12.05,0,1.34,0,0
3Month,0,14.72,0.32,0.32,0.32,0.32,0,4.48,0.64,0,0.64,0,48.95,0.64,19.52,3.2,6.72,0,0,0.32,0,0.64,0.64,0,0.64,0.96
22Month,0,8.75,0,0.55,0,2.19,0.55,12.03,0,0.55,1.09,0.55,43.73,2.19,41,0,8.2,0,0,0.55,0.55,0,0,0,0,2.19
