stage,Epithelial_cell,Muscle_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,4.09,0,0
21Day,1.34,0,0,0,0
3Month,0,0.32,0,3.84,5.12
22Month,0,0,0,1.64,0
