stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,1.07,2.14,0,3.21,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,4.02,0,0,8.03,0,6.69,0,2.68,0,0,0,0,0,0,0,0,0,1.34,8.03,2.68,5.35,0,0,0,0,1.34,2.68,0,0,0,5.35,0,112.44,0,0,0,5.35,1.34
3Month,2.56,7.36,7.36,92.47,0.64,0,1.92,0.96,0.32,20.8,35.51,0.32,0,159.97,46.39,2.88,63.03,13.44,23.68,27.2,36.79,5.12,0.96,10.56,17.28,7.36,2.24,8,7.36,1.92,37.75,0.32,5558.16,4.8,0.96,24.96,4372.75,23.68
22Month,0,0.55,1.64,4.92,0,0,1.09,0,0,1.64,0.55,0,0,26.24,0.55,0.55,6.56,0,0,2.19,1.09,0.55,1.64,0.55,0.55,0,0,0.55,1.09,1.64,1.09,0,921.66,0,0,0,11.48,0.55
