stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,1.07,0,0,0
21Day,0,0,1.34,2.68,1.34,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0
3Month,0,0,1.28,0,0,0.32,1.6,0.32,1.6,0,0.32,0,0.64,0.32,0,0,0.32,0.64
22Month,1.09,0.55,1.09,0,0,0.55,6.56,0.55,0.55,0,0.55,0.55,0.55,0,0,0,0,1.09
