stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,2.68,0,0,108.42,1.34,0,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,4.02,0,0,1.34,0,0,0
3Month,0,1.28,2.24,261.72,0,0,0,1.28,1.92,0,16.64,3.52,11.2,0.96,4.48,28.16,2.56,1.28,0,1.28,0.32,0,0,0.32,28.16,0.32,5.12,0,6.72,1.92,0.96
22Month,0,1.64,0.55,37.72,0,1.09,1.64,1.09,1.64,0.55,45.92,1.09,6.01,0.55,18.59,84.18,3.83,0,3.28,0,0,0.55,0.55,0.55,26.24,0,1.09,0,0.55,0,0
