stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Pancreatic_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,4.28,0,0,0,0,0,0
21Day,5.35,0,0,0,0,0,5.35,1.34,0,0,0,0,0
3Month,7.36,0.32,0.64,1.92,0.32,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0.32
22Month,0,0,0,1.64,0,0,0,0,0,0,0,0,0
