stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,5.35,3.21,0,0,1.07,0,0
21Day,2.68,0,5.35,1.34,0,0,0,0,1.34,0,0,1.34,2.68,4.02,0,0,1.34,1.34,1.34,0,0,1.34,0
3Month,0,0.64,0.64,0,0.32,0.32,1.6,0,0,0.32,0.64,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0,0,0.64
22Month,0,0,0,0,0,0.55,9.84,0.55,0,0.55,0,0,1.64,0,0.55,0,0,0,0,0,0,0,0
