stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,4.28,2.14,3.21,0,0,0,0,0,0,0,0,1.07,7.49,1.07,5.35,0,0,519.92,34.23,1.07,2.14,9.63,0,0,3.21,2.14,1.07,1.07,0,0,0
21Day,1.34,0,1.34,0,6.69,1.34,0,0,0,2.68,0,1.34,1.34,0,0,0,1.34,0,0,147.24,20.08,0,2.68,1.34,6.69,2.68,2.68,1.34,4.02,1.34,0,0,0
3Month,0.64,0.32,1.92,0.32,0,0.32,1.28,0.64,0,13.12,1.92,0,2.88,0,1.6,1.28,3.2,0.32,0.64,2.56,0.32,5.76,2.56,0,1.6,120.94,0,0,0,0,0.32,148.46,0.64
22Month,0,0,0.55,0,0,0,0,0.55,0.55,4.37,0.55,0,1.64,0,0,0.55,0,0,0,1.09,0,1.64,1.64,0.55,0,26.79,1.09,1.09,0,0,0,1.64,0
