stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,12.26,249.27,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,14.98,0,1.07,2.14,2.14,0,0,0,0,0,0,0,0,1.07,0,7.49,1.07,0,20.33,0,0,0,0,66.33,47.07,0,0,19.26,0,0,5.35,0,0,4.28,0,0,0
21Day,5.35,6.69,0,14.72,0,4.02,0,0,0,0,0,0,0,0,2.68,2.68,1.34,2.68,0,40.16,0,0,0,0,38.82,22.76,2.68,1.34,17.4,0,0,8.03,1.34,1.34,1.34,0,0,0
3Month,0,12.16,4.8,35.51,0,0,0.32,0.96,0.32,28.48,2.24,0,12.16,4.16,0,138.22,2.24,9.28,5.44,44.79,6.08,0,6.72,4.16,1.6,1.28,4.48,0.96,1.28,2.56,47.67,0.96,0,0,0.64,31.99,3.2,2.88
22Month,0,19.13,5.47,14.21,0,0,0.55,0,0,20.23,1.64,4.92,21.87,1.09,0,149.78,0,3.83,7.11,36.63,1.09,0.55,6.01,0,1.64,0.55,5.47,2.19,1.64,0.55,26.24,5.47,0,0,0.55,3.83,0,0
