stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Spermatocyte
72hpf,1.07,0,0,0,0
21Day,0,0,1.34,0,0
3Month,0,0.32,0,0.32,0.96
