stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,8.17,4.09,12.26,0,0,0,4.09,4.09,20.43,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,3.21,11.77,0,5.35,0,1.07,0,0,17.12,6.42,0,0,2.14,0,0,1.07,0,0,0,0
21Day,1.34,1.34,0,12.05,1.34,6.69,1.34,0,0,0,0,0,2.68,2.68,2.68,2.68,0,4.02,0,0,0,0,6.69,10.71,0,1.34,5.35,1.34,0,0,0,0,0,1.34
3Month,0,1.6,0.32,15.68,0,0,0.64,2.24,4.16,0,9.28,6.08,0.64,7.04,0.96,3.84,3.2,3.52,0.64,0,1.92,0.64,0.32,0.64,0.96,0.32,0,0.32,7.36,0,0,3.2,0.64,5.44
22Month,0,1.09,1.09,1.09,0,0,0,1.09,0.55,1.09,6.56,1.64,0.55,4.37,0.55,0.55,2.19,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
