stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,16.35,0,8.17,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,11.77,0,0,0,0,0,0,0,49.21,0,0,20.33,4.28,0,0,0,0,1.07,11.77,4.28,0
21Day,4.02,4.02,135.19,2.68,2.68,0,0,2.68,0,6.69,36.14,1.34,2.68,13.39,0,1.34,2.68,2.68,4.02,0,48.19,4.02,0
3Month,0,0,3.2,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0,0,2.56,0.32,0,0,0.64
22Month,0,0,0,0,0,0,1.64,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
