stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
21Day,0,0,4.02,1.34,0,5.35,1.34,1.34,167.32,1.34,0,5.35,1.34,0,1.34,0,1.34,2.68
3Month,0.32,1.92,0,0.64,0.32,0.32,0,0.32,13.12,0.32,0,0,0,0.96,0,0.32,0,2.24
22Month,0,0.55,0,1.64,0,0,0,0,10.39,0,0.55,0,0,0,0,0,0,4.37
