stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,6.42,2.14,1.07,0,0
21Day,1.34,0,4.02,1.34,0,0,0,0,0,1.34,0,1.34,6.69,0,0,8.03,9.37,0,0,1.34
3Month,0,0,0.32,0,0,0.32,0,0.32,0.32,0,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0.55,0,1.09,12.03,0.55,0,0.55,0,0,1.09,0.55,0,0,0,0.55,0
