stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,28.6,81.73,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,1.07,0,9.63,1.07,0,0,0,0,0,7.49,1.07,12.84,0,1.07,1.07,0,1097.61,133.72,3.21,0,11.77,0,0,10.7,1.07,1.07,0,0,0
21Day,4.02,0,1.34,6.69,0,6.69,0,0,0,1.34,0,1.34,0,0,4.02,0,0,2.68,0,360.07,72.28,1.34,2.68,6.69,4.02,0,2.68,2.68,0,0,0,1.34
3Month,0,0,0.32,3.52,0.32,0,0.32,0.96,0.96,9.92,0.96,2.24,1.28,0.32,0.96,0.32,0,0.32,0.32,0.32,0.32,0.64,0,0,0,1.92,0,0,0,0.32,0.32,1.28
22Month,0,1.09,0,2.73,0,0,0,0,4.92,50.29,2.19,2.73,0.55,2.19,1.64,1.09,1.64,0.55,0,1.09,0,0,0.55,0,0.55,0.55,1.09,0,0,0,0,0.55
