stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,0,0,0,0,12.26,138.94,4.09,0,0,0,0,0,0,0,0
72hpf,16.05,3.21,0,9.63,3.21,3.21,0,0,1.07,0,12.84,12.84,0,19.26,0,5.35,0,0,1146.82,54.56,0,1.07,17.12,2.14,1.07,16.05,1.07,3.21,0
21Day,8.03,2.68,0,10.71,0,6.69,0,0,2.68,1.34,12.05,2.68,1.34,14.72,0,0,8.03,0,204.8,9.37,0,1.34,1.34,1.34,0,1.34,5.35,6.69,1.34
3Month,0,0.32,0,0.96,0,0,0.32,2.56,0,0.32,1.92,0,0.32,1.6,0.32,0,0,0.64,0.32,0,0,0,0,0,2.24,0,0,0,0
22Month,0,0,0.55,0,0,0,1.09,7.65,0.55,2.19,2.19,0,0.55,1.64,0,0.55,0.55,0,1.64,0,0.55,0.55,0,0,1.09,0,0,0,1.09
