stage,Erythrocyte,Hepatocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,1.07,0,1.07,0,0,1.07,2.14
21Day,2.68,0,0,0,1.34,0,0
3Month,0,0,0.96,0,0,0,0
22Month,0,5.47,1.09,0.55,0,0,0
