stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell
21Day,0,0,0,0,1.34,0
3Month,0,0,0,0.32,0,0
22Month,1.64,0.55,0.55,1.64,0,0.55
