stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,57.21,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,2.14,1.07,0,0,0,0,0,0,0,3.21,5.35,1.07,3.21,0,12.84,1.07,0,3.21,0,0,0,0,0,0,0
21Day,0,1.34,10.71,0,1.34,0,0,0,2.68,0,2.68,0,5.35,16.06,2.68,13.39,0,12.05,2.68,0,6.69,1.34,1.34,1.34,1.34,0,0,1.34
3Month,0,0,3.52,0,0,0.32,1.92,0,1.92,0.32,0,0.96,0.32,0.64,0.64,0.96,0.32,0.32,0,0,0,2.88,0,0,0,0.32,0.96,1.28
22Month,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0
