stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,12.26,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,2.14,2.14,0,0,0,0,0,0,3.21,5.35,1.07,2.14,0,391.54,16.05,0,5.35,0,3.21,2.14,0,0
21Day,2.68,0,0,1.34,0,0,0,0,0,0,0,1.34,0,4.02,0,54.88,2.68,0,1.34,0,0,0,0,0
3Month,0.32,3.52,0,0,0,0.32,0,0.32,0,1.6,0,0.64,0.64,0.64,0,0.32,0,0.32,0,0,0,0,0.96,0.32
22Month,0,0.55,0,0,0.55,0.55,0,14.76,2.19,0.55,0,1.09,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,0.55
