stage,Cardiomyocyte,Enterocyte,Goblet_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell
72hpf,0,0,0,0,1.07,0,0,0,16.05,0,0
21Day,0,0,0,0,0,0,0,0,17.4,0,0
3Month,0.32,0,0.32,0.32,0,0.32,0,0.32,0.64,0,0
22Month,0,0.55,0,5.47,0,0.55,0.55,0,5.47,0.55,0.55
