stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,2.14,0,0,0,0,0,0,0,2.14,7.49,1.07,8.56,0,1.07,0,0,9.63,25.67,0,0,2.14,0,0,2.14,0,0,0
21Day,8.03,0,0,13.39,1.34,5.35,0,2.68,0,1.34,0,2.68,1.34,0,6.69,5.35,5.35,0,0,0,0,6.69,5.35,0,0,1.34,4.02,0,0,0,0,0
3Month,0,0.32,0.32,7.36,0,0,0.32,0,0.64,23.04,0.96,0.64,4.16,1.6,1.92,3.52,1.28,0.32,0,0.64,1.6,0.32,0,0.32,0,0,0.64,6.72,0,0.32,4.8,1.28
22Month,0,0,0.55,4.37,0,0,0,0,2.19,35.53,0,1.09,2.73,0,0,3.83,0,0,1.09,0,0,0.55,0,1.64,0.55,0,0,1.09,0.55,0,0,0
