stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,44.95,0,0
72hpf,0,2.14,0,1.07,0,0,0,3.21,1.07,3.21,19.26,2.14,0,0
21Day,2.68,0,2.68,0,1.34,1.34,0,2.68,0,5.35,1.34,2.68,4.02,0
3Month,0,0,0,0,0,0.96,0,0,0,0.32,0,0,0,0.32
22Month,0,0,0,0,0,1.09,0.55,0,0,0,0,0,0,0
