stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,20.43,0,0,0,0,0,24.52,0,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,17.12,7.49,2.14,2.14,0,3.21,0,0,0,0,0,0,3.21,0,0,3.21,1.07,84.51,0,0,3.21,0,22.47,13.91,2.14,0,136.93,0,0,2.14,1.07,0,0,0
21Day,6.69,10.71,10.71,2.68,5.35,0,0,0,0,1.34,0,0,0,9.37,0,0,5.35,2.68,192.75,0,0,12.05,0,9.37,5.35,0,0,80.31,4.02,0,0,6.69,0,0,8.03
3Month,0,8.64,6.72,0,0,0.32,0,0.32,0,2.56,0,5.76,1.6,1.28,2.24,0.64,6.08,4.48,26.56,12.48,0,2.24,0.64,2.24,0,0.64,0,1.92,0.64,1.92,0,0,2.24,0.32,2.56
22Month,0,19.13,7.65,0.55,0,0.55,0,0.55,0.55,8.75,15.31,31.16,0,3.28,2.73,0,2.73,2.19,52.48,1.64,0.55,1.64,0.55,0.55,0,1.09,0.55,3.28,0.55,3.28,3.28,0,0.55,0,3.83
