stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,16.35,16.35,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,7.49,7.49,0,0,0,0,0,5.35,0,0,0,0,0,0,0
21Day,0,2.68,12.05,0,0,0,0,0,0,0,5.35,5.35,0,2.68,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0,1.28,33.27,0,0.32,5.12,0.96,8.32,2.56,35.51,5.76,1.6,1.92,0.96,0.32,4.8,2.88,2.56,0.32,2.24,1.28,2.88,0.64,8,1.28
22Month,0,1.64,3.83,0,0,3.28,0,4.92,0,22.41,1.09,0.55,0.55,0.55,0,0,0,0,0,1.09,0,2.19,0,0,0
