stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,0,11.77,21.4,0,0,0,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,5.35,0,6.69,109.76,6.69,0,0,1.34,0,28.11,0,0,34.8,1.34,69.6,2.68,10.71,0,0,0,0,8.03,4.02,0,0,9.37,4.02,0,0,0,4.02,0,0,1.34
3Month,0,0.32,18.88,42.23,0,1.28,7.36,1.6,0.32,216.93,7.04,0,310.35,0.96,10.88,3.2,7.04,0.64,1.28,1.28,1.28,0.96,0,1.28,0,0,6.08,1.28,0.32,0,0,0.96,0.96,3.2
22Month,0.55,3.83,46.47,15.85,0,2.19,17.49,4.92,2.19,400.15,1.09,1.09,866.99,0,2.73,6.01,9.84,0,15.85,1.64,0,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1.64,1.64,0,0,0,4.37
