stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0.64,0,0,0,0,0.32,0.32,0,0,0,0,0,0.32,0,0,0.32,0,1.28,0,0,0,0
22Month,0.55,9.84,3.28,16.95,0.55,1.09,3.83,21.87,6.56,138.85,8.75,2.19,7.11,1.09,2.19,7.11,23.51,5.47,3.83,1.09,0,0,1.09,1010.76,0,0,10.39,1.64,0.55,0.55,4.92
