stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,11.77,0,0,0,0,0,0,0,0,3.21,37.44,0,1.07,0,0,35.3,5.35,0,1.07,0,0,0,0,0
21Day,1.34,1.34,0,40.16,0,4.02,0,0,0,0,0,0,0,1.34,41.49,1.34,2.68,0,0,38.82,6.69,0,1.34,4.02,0,0,0,0
3Month,0,0,0,12.48,0.32,0,0,1.6,0,2.56,0.64,0,1.28,1.28,0.96,0.64,0.32,0,0.32,0.32,0,0.32,0,0.96,10.24,0.32,16.64,0.32
22Month,0,0,0.55,2.73,0,0,0.55,0,0,13.12,0,0.55,2.73,0.55,0.55,1.64,0,0.55,0.55,0,0,0,0,0,4.37,0,0,0.55
