stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,3.21,1.07,1.07,0,0,0,35.3,11.77,0,0,1.07,0,2.14,0,0
21Day,2.68,1.34,1.34,1.34,0,0,0,0,0,2.68,0,0,0,0,5.35,0,1.34,0,0,0,20.08,0,0,1.34,0,0,0,0,1.34
3Month,0,0.32,0,1.28,0,0,0.32,0,0,0.96,0.32,0,0,0,0,0.64,0,0,0.32,0.32,0,0,0.32,0,0,0.64,0,0.96,0.32
22Month,0,0.55,1.09,1.64,0,1.09,0,2.19,0.55,17.49,2.73,1.09,4.37,0,0,1.09,2.19,1.09,0.55,0,0,0,0.55,0.55,0,0,0.55,0,1.09
